longitude,latitude,visit_date,transparency_m,color_id,HELCOM_ID,country,level_2,Name,Open_sea,F2_Name,new_area_k,Shape_Leng,Shape_Area,geometry
24.1167,57.6,2001-04-26T15:10:00Z,2.8,15,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,24.1167|57.6
24.2518,57.7633,2001-04-26T17:05:00Z,1.9,19,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,24.2518|57.7633
24.2433,57.88,2001-04-26T18:10:00Z,2.2,17,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,24.2433|57.88
24.0665,57.8827,2001-04-26T19:15:00Z,2.5,15,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,24.0665|57.8827
23.9167,57.85,2001-04-26T20:05:00Z,2.5,15,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.9167|57.85
23.6167,57.6167,2001-04-27T06:00:00Z,3.2,14,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.6167|57.6167
23.85,57.3,2001-04-27T09:50:00Z,2.1,17,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3
23.9333,57.1667,2001-04-27T14:45:00Z,1.8,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9333|57.1667
24.0017,57.0833,2001-05-09T10:30:00Z,1.2,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.0017|57.0833
23.9833,57.1,2001-05-09T12:45:00Z,1.2,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9833|57.1
23.9792,57.0737,2001-05-09T14:20:00Z,1.2,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9792|57.0737
23.9683,57.0433,2001-05-09T15:00:00Z,1.3,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9683|57.0433
23.92,57.025,2001-05-09T15:52:00Z,1.2,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.92|57.025
23.8883,57.055,2001-05-09T16:52:00Z,1.2,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.8883|57.055
23.8129,57.0862,2001-05-09T17:53:00Z,1.2,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.8129|57.0862
23.9333,57.1667,2001-05-09T19:05:00Z,1.2,21,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9333|57.1667
23.85,57.3,2001-05-09T20:30:00Z,1.2,19,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.85|57.3
23.6667,57.1667,2001-05-10T05:02:00Z,1.8,19,SEA-011,Opensea,Gulf of Riga,Opensea Gulf of Riga,Gulf of Riga,Opensea Gulf of Riga,8674.48923994,954770.496399,30193177349.7,23.6667|57.1667
23.7433,56.98,2001-05-10T07:58:00Z,1.6,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.7433|56.98
23.9565,57.1243,2001-05-15T10:35:00Z,1.8,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,23.9565|57.1243
24.097,57.0986,2001-05-15T11:43:00Z,1,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.097|57.0986
24.2167,57.1833,2001-05-15T13:20:00Z,1.2,19,LAT-005,Latvia,Gulf of Riga,Gulf of Riga transitional waters,,Gulf of Riga transitional waters,855.811191767,243360.758113,2896144600.07,24.2167|57.1833
